"1","Private flight","-","N/A",,
"2","135 Airways",NULL,"GNL","GENERAL","United States"
"3","1Time Airline","1T","RNX","NEXTIME","South Africa"
"4","2 Sqn No 1 Elementary Flying Training School",NULL,"WYT",,"United Kingdom"
"5","213 Flight Unit",NULL,"TFU",,"Russia"
"6","223 Flight Unit State Airline",NULL,"CHD","CHKALOVSK-AVIA","Russia"
"7","224th Flight Unit",NULL,"TTF","CARGO UNIT","Russia"
"8","247 Jet Ltd",NULL,"TWF","CLOUD RUNNER","United Kingdom"
"9","3D Aviation",NULL,"SEC","SECUREX","United States"
"10","40-Mile Air","Q5","MLA","MILE-AIR","United States"
"11","4D Air",NULL,"QRT","QUARTET","Thailand"
"12","611897 Alberta Limited",NULL,"THD","DONUT","Canada"
"13","Ansett Australia","AN","AAA","ANSETT","Australia"
"14","Abacus International","1B",,,"Singapore"
"15","Abelag Aviation","W9","AAB","ABG","Belgium"
"16","Army Air Corps",NULL,"AAC","ARMYAIR","United Kingdom"
"17","Aero Aviation Centre Ltd.",NULL,"AAD","SUNRISE","Canada"
"18","Aero Servicios Ejecutivos Internacionales",NULL,"SII","ASEISA","Mexico"
"19","Aero Biniza",NULL,"BZS","BINIZA","Mexico"
"20","Aero Albatros",NULL,"ABM","ALBATROS ESPANA","Spain"
"21","Aigle Azur","ZI","AAF","AIGLE AZUR","France"
"22","Aloha Airlines","AQ","AAH","ALOHA","United States"
"23","Alaska Island Air",NULL,"AAK","ALASKA ISLAND","United States"
"24","American Airlines","AA","AAL","AMERICAN","United States"
"25","Aviation Management Corporation",NULL,"AAM","AM CORP","United States"
"26","Atlantis Airlines (USA)",NULL,"AAO","ATLANTIS AIR","United States"
"27","Aerovista Airlines",NULL,"AAP","AEROVISTA GROUP","United Arab Emirates"
"28","Asiana Airlines","OZ","AAR","ASIANA","Republic of Korea"
"29","Askari Aviation","4K","AAS","AL-AAS","Pakistan"
"30","Australia Asia Airlines",NULL,"AAU","AUSTASIA","Australia"
"31","Astro Air International",NULL,"AAV","ASTRO-PHIL","United States"
"32","Afriqiyah Airways","8U","AAW","AFRIQIYAH","Libya"
"33","Afrinat International Airlines","Q9","AFU",,"Gambia"
"34","Afric'air Express",NULL,"AAX","AFREX","Ivory Coast"
"35","Allegiant Air","G4","AAY","ALLEGIANT","United States"
"36","Angus Aviation",NULL,"AAZ","ANGUS","Canada"
"37","Artem-Avia",NULL,"ABA","ARTEM-AVIA","Ukraine"
"38","African Business and Transportations",NULL,"ABB","AFRICAN BUSINESS-","Democratic Republic of the Congo"
"39","Aban Air","K5","ABE","ABAN","Iran"
"40","Aerial Oy",NULL,"ABF","SKYWINGS","Finland"
"41","Abakan-Avia",NULL,"ABG","ABAKAN-AVIA","Russia"
"42","ABSA - Aerolinhas Brasileiras","M3","TUS","ABSA Cargo","Brazil"
"43","Abaet",NULL,"ABJ","Abaet","Brazil"
"44","Alberta Citylink",NULL,"ABK","ALBERTA CITYLINK","Canada"
"45","APSA Colombia",NULL,"ABO","AEROEXPRESO","Colombia"
"46","Aerovias Bueno",NULL,"ABU","AEROBUENO","Colombia"
"47","Aerocenter",NULL,"ACR"," Escuela de Formacion de Pioltos Privados de Avion","AEROCENTER"
"48","Antrak Air","04","ABV","ANTRAK","Ghana"
"49","Airborne Express","GB","ABX","ABEX","United States"
"50","ABX Air","GB","ABX","ABEX","United States"
"51","ATA Brasil",NULL,"ABZ","ATA-BRAZIL","Brazil"
"52","Avcard Services",NULL,"ACC",,"United Kingdom"
"53","Academy Airlines",NULL,"ACD","ACADEMY","United States"
"54","Aero Comondu",NULL,"ACO","AERO COMONDU","Mexico"
"55","Astral Aviation","8V","ACP","ASTRAL CARGO","Kenya"
"56","Air Cess",NULL,"ACS",,"Liberia"
"57","Air Aurora",NULL,"AAI","BOREALIS","United States"
"58","Air Cargo Transportation System",NULL,"ACU","AFRISPIRIT","Kenya"
"59","Air Charter Service",NULL,"ACV",,"United Kingdom"
"60","Aero Asia International","E4","RSO","AERO ASIA","Pakistan"
"61","Air Charters",NULL,"ACX","PARAIR","Canada"
"62","Air Togo","YT","TGA","AIR TOGO","Togo"
"63","Air Somalia",NULL,"RSM","AIR SOMALIA","Somali Republic"
"64","Atlas Cargo Lines",NULL,"ACY","ATLAS CARGOLINES","Morocco"
"65","Airservices Australia",NULL,"ADA","AUSCAL","Australia"
"66","Advance Leasing Company","4G",,,"United States"
"67","Aztec Worldwide Airlines","7A",,,"United States"
"68","Air Tindi","8T",,,"Canadian Territories"
"69","Antonov Airlines",NULL,"ADB","ANTONOV BUREAU","Ukraine"
"70","Air Atlantic Dominicana",NULL,"ADC","ATLAN-DOMINICAN","Dominican Republic"
"71","Advanced Air Co.",NULL,"ADD",,"Japan"
"72","Ada Air","ZY","ADE","ADA AIR","Albania"
"73","Aerea Flying Training Organization",NULL,"ADG","AEREA TRAINING","Spain"
"74","Audeli Air",NULL,"ADI","AUDELI","Spain"
"75","Abicar",NULL,"ADJ","ABICAR","Ivory Coast"
"76","ADC Airlines","Z7","ADK","ADCO","Nigeria"
"77","Aero Dynamics",NULL,"ADL","COTSWOLD","United Kingdom"
"78","Aerolineas Dominicanas",NULL,"ADM","DOMINAIR","Dominican Republic"
"79","Aerodienst GmbH",NULL,"ADN","AERODIENST","Germany"
"80","Aerodiplomatic",NULL,"ADP","AERODIPLOMATIC","Mexico"
"81","Aerodyne",NULL,"ADY","AERODYNE","United States"
"82","Avion Taxi",NULL,"ADQ","AIR DATA","Canada"
"83","Adria Airways","JP","ADR","ADRIA","Slovenia"
"84","Aviones de Sonora",NULL,"ADS","SONORAV","Mexico"
"85","Air Dorval",NULL,"ADT","AIR DORVAL","Canada"
"86","Airdeal Oy",NULL,"ADU","AIRDEAL","Finland"
"87","Advance Air Charters",NULL,"ADV","ADVANCE","Canada"
"88","Air Andaman",NULL,"ADW","AIR ANDAMAN","Thailand"
"89","Anderson Aviation",NULL,"ADX","ANDAX","United States"
"90","Air Europa","UX","AEA","EUROPA","Spain"
"91","Air Southwest Ltd.",NULL,"ASW","AIRSOUTHWEST","Canada"
